Document Date,Document Number,Document Type,Item Number,U Of M,TRX QTY,Unit Cost,Extended Cost,TRX Location,Document Status
11/08/2023,ASM014125,Bill of Materials,AC-B8BK,BAG,290,12.804,3713.21,2,Posted
11/17/2023,ASM014145,Bill of Materials,AC-B8BK,BAG,1680,13.974,23475.87,1,Posted
11/14/2023,ASM014146,Bill of Materials,A-61260N,BOX,3287,10.036,32989.72,1,Posted
11/14/2023,ASM014147,Bill of Materials,A-61243,BOX,127,7.697,977.58,1,Posted
11/16/2023,ASM014148,Bill of Materials,AC-B4BK,BAG,1200,6.896,8275.2,1,Posted
11/15/2023,ASM014149,Bill of Materials,AC-B16BK,BAG,72,21.32,1535.04,2,Posted
11/22/2023,ASM014154,Bill of Materials,AC-B4BK,BAG,1200,7.161,8593.2,1,Posted
11/20/2023,ASM014157,Bill of Materials,A-61220,BOX,800,3.605,2883.99,3,Posted
11/20/2023,ASM014158,Bill of Materials,A-61260N,BOX,720,10.011,7207.92,3,Posted
11/21/2023,ASM014160,Bill of Materials,AC-B16BK,BAG,750,26.403,19802.25,3,Posted
11/27/2023,ASM014163,Bill of Materials,AC-B16BK,BAG,480,23.958,11499.84,1,Posted
11/22/2023,ASM014164,Bill of Materials,AC-B9SL,BAG,7203,20.271,146015.39,U,Posted
01/15/2024,ASM014166,Bill of Materials,AC-B9SLE,BAG,1600,20.674,33078.4,1,Posted
11/29/2023,ASM014167,Bill of Materials,AC-B4BK,BAG,720,7.161,5155.92,1,Posted
11/29/2023,ASM014170,Bill of Materials,A-61012,BOX,2520,12.229,30817.37,1,Posted
11/29/2023,ASM014172,Bill of Materials,AC-B9SL,BAG,16803,21.181,355904.39,U,Posted
11/30/2023,ASM014173,Bill of Materials,A-61243,BOX,1418,8.729,12377.02,1,Posted
11/30/2023,ASM014177,Bill of Materials,AC-B8BK,BAG,282,12.801,3609.88,2,Posted
11/30/2023,ASM014178,Bill of Materials,AC-B16BK,BAG,60,21.32,1279.2,2,Posted
12/05/2023,ASM014182,Bill of Materials,A-61220,BOX,440,3.559,1565.96,3,Posted
12/05/2023,ASM014183,Bill of Materials,A-61220,BOX,960,3.559,3416.64,3,Posted
12/05/2023,ASM014184,Bill of Materials,A-61260N,BOX,720,10.119,7285.66,3,Posted
12/07/2023,ASM014186,Bill of Materials,AC-B4BK,BAG,480,7.184,3448.08,1,Posted
12/06/2023,ASM014190,Bill of Materials,A-61012,BOX,3478,12.259,42636.19,1,Posted
12/12/2023,ASM014192,Bill of Materials,AC-B16BK,BAG,480,24.832,11919.4,1,Posted
12/08/2023,ASM014193,Bill of Materials,AC-B16BK,BAG,1000,23.727,23727.12,3,Posted
12/08/2023,ASM014194,Bill of Materials,AC-B4BK,BAG,2000,7.084,14167,3,Posted
12/08/2023,ASM014195,Bill of Materials,AC-B8BK,BAG,1000,14.15,14150.33,3,Posted
12/14/2023,ASM014202,Bill of Materials,AC-B16BK,BAG,1000,23.917,23917.11,3,Posted
12/14/2023,ASM014203,Bill of Materials,AC-B4BK,BAG,2000,7.084,14167,3,Posted
12/14/2023,ASM014204,Bill of Materials,A-61243,BOX,2597,7.997,20766.9,1,Posted
12/12/2023,ASM014205,Bill of Materials,AC-B9SL,BAG,16803,21.898,367956.92,U,Posted
12/15/2023,ASM014213,Bill of Materials,A-61243,BOX,2880,7.804,22475.52,1,Posted
12/18/2023,ASM014217,Bill of Materials,A-61220,BOX,960,3.559,3416.64,3,Posted
12/18/2023,ASM014218,Bill of Materials,A-61243,BOX,1810,7.809,14133.94,1,Posted
12/19/2023,ASM014224,Bill of Materials,A-61220,BOX,960,3.561,3418.89,3,Posted
12/20/2023,ASM014229,Bill of Materials,A-61220,BOX,120,3.558,426.96,1,Posted
12/21/2023,ASM014233,Bill of Materials,A-61260N,BOX,105,10.123,1062.91,3,Posted
12/21/2023,ASM014234,Bill of Materials,A-61260N,BOX,90,10.123,911.07,3,Posted
12/21/2023,ASM014235,Bill of Materials,A-61243,BOX,1440,7.804,11237.76,1,Posted
12/22/2023,ASM014236,Bill of Materials,A-61243,BOX,960,7.806,7494.09,1,Posted
01/02/2024,ASM014241,Bill of Materials,A-61260N,BOX,1080,9.997,10796.43,1,Posted
12/26/2023,ASM014246,Bill of Materials,AC-B8BK,BAG,150,12.806,1920.9,2,Posted
12/28/2023,ASM014247,Bill of Materials,AC-B16BK,BAG,90,22.376,2013.82,2,Posted
12/27/2023,ASM014248,Bill of Materials,AC-B4BK,BAG,1500,7.184,10775.25,3,Posted
12/27/2023,ASM014249,Bill of Materials,AC-B16BK,BAG,1000,24.048,24048,3,Posted
12/28/2023,ASM014254,Bill of Materials,AC-B9SL,BAG,7064,21.89,154630.78,U,Posted
12/28/2023,ASM014255,Bill of Materials,A-61243,BOX,3036,7.777,23609.91,1,Posted
12/29/2023,ASM014257,Bill of Materials,A-61260N,BOX,1080,9.998,10797.45,1,Posted
01/03/2024,ASM014260,Bill of Materials,AC-B8BK,BAG,330,16.27,5369.19,2,Posted
01/04/2024,ASM014263,Bill of Materials,A-61220,BOX,700,3.559,2491.3,3,Posted
01/05/2024,ASM014264,Bill of Materials,A-61260N,BOX,2189,9.995,21878.76,1,Posted
01/05/2024,ASM014268,Bill of Materials,AC-B9SL,BAG,6080,21.177,128756.14,U,Posted
01/09/2024,ASM014270,Bill of Materials,AC-B9SL,BAG,800,20.563,16450.4,1,Posted
01/10/2024,ASM014277,Bill of Materials,A-61280,BAG,4323,11.483,49642.07,U,Posted
01/10/2024,ASM014280,Bill of Materials,A-61220,BOX,3840,3.561,13673.31,3,Posted
01/12/2024,ASM014289,Bill of Materials,A-61260N,BOX,2263,9.981,22586.12,1,Posted
03/08/2024,ASM014290,Bill of Materials,AC-B4BK,BAG,1200,7.351,8821.2,1,Posted
01/15/2024,ASM014297,Bill of Materials,AC-B8BK,BAG,468,16.386,7668.49,2,Posted
01/16/2024,ASM014298,Bill of Materials,AC-B9SLE,BAG,2400,20.104,48250.22,1,Posted
01/16/2024,ASM014301,Bill of Materials,A-61260N,BOX,480,10.123,4859.04,3,Posted
01/16/2024,ASM014303,Bill of Materials,AC-B8BK,BAG,1000,14.156,14156,3,Posted
01/22/2024,ASM014304,Bill of Materials,AC-B4BK,BAG,600,7.381,4428.6,1,Posted
01/22/2024,ASM014305,Bill of Materials,AC-B9SLE,BAG,2400,20.021,48051.38,1,Posted
01/19/2024,ASM014307,Bill of Materials,A-61260N,BOX,2099,9.719,20400.91,1,Posted
01/19/2024,ASM014308,Bill of Materials,AC-B9SL,BAG,7800,20.85,162633.19,U,Posted
01/22/2024,ASM014314,Bill of Materials,A-61012,BOX,720,12.189,8776.08,1,Posted
01/30/2024,ASM014316,Bill of Materials,AC-B9SLE,BAG,3200,20.021,64067.85,1,Posted
01/22/2024,ASM014317,Bill of Materials,A-61260N,BOX,1590,9.717,15450.14,1,Posted
01/25/2024,ASM014318,Bill of Materials,AC-B9SL,BAG,9000,20.829,187464,U,Posted
01/26/2024,ASM014326,Bill of Materials,A-61260N,BOX,2931,9.686,28389.67,1,Posted
01/31/2024,ASM014337,Bill of Materials,A-61012,BOX,931,12.448,11589.31,1,Posted
02/14/2024,ASM014339,Bill of Materials,AC-B9SLE,BAG,2400,20.636,49526.13,1,Posted
01/31/2024,ASM014342,Bill of Materials,A-61260N,BOX,1800,9.745,17541.4,1,Posted
03/07/2024,ASM014347,Bill of Materials,A-61243,BOX,3769,7.46,28116.74,1,Posted
02/05/2024,ASM014349,Bill of Materials,A-61260N,BOX,1968,9.686,19062.05,1,Posted
02/05/2024,ASM014352,Bill of Materials,A-61260N,BOX,360,9.823,3536.28,3,Posted
02/05/2024,ASM014354,Bill of Materials,A-61243,BOX,480,7.589,3642.92,3,Posted
02/05/2024,ASM014355,Bill of Materials,A-61220,BOX,930,3.465,3222.67,3,Posted
02/05/2024,ASM014358,Bill of Materials,A-61220,BOX,960,3.458,3319.68,1,Posted
02/08/2024,ASM014370,Bill of Materials,A-61243,BOX,3547,7.637,27087.43,1,Posted
02/13/2024,ASM014373,Bill of Materials,AC-B9SLE,BAG,3200,21.847,69910.4,1,Posted
02/12/2024,ASM014376,Bill of Materials,A-61243,BOX,1636,7.655,12523.35,1,Posted
02/16/2024,ASM014383,Bill of Materials,AC-B4BK,BAG,600,7.381,4428.6,1,Posted
02/16/2024,ASM014391,Bill of Materials,A-61260N,BOX,1800,9.705,17468.6,1,Posted
02/21/2024,ASM014392,Bill of Materials,AC-B4BK,BAG,600,7.351,4410.6,1,Posted
02/20/2024,ASM014393,Bill of Materials,A-61260N,BOX,1713,9.543,16346.53,1,Posted
02/20/2024,ASM014394,Bill of Materials,A-61220,BOX,2368,3.475,8229.97,3,Posted
02/23/2024,ASM014402,Bill of Materials,A-61012,BOX,1080,12.117,13086.36,1,Posted
02/29/2024,ASM014409,Bill of Materials,A-61260N,BOX,1800,9.624,17323.8,1,Posted
02/29/2024,ASM014411,Bill of Materials,AC-B8BK,BAG,420,14.486,6084.12,1,Posted
03/11/2024,ASM014416,Bill of Materials,AC-B16BK,BAG,480,24.718,11864.64,1,Posted
03/04/2024,ASM014417,Bill of Materials,AC-B16BK,BAG,210,26.588,5583.58,2,Posted
03/04/2024,ASM014421,Bill of Materials,A-61260N,BOX,1980,9.581,18971.16,1,Posted
03/06/2024,ASM014426,Bill of Materials,AC-B9SL,BAG,8800,22.482,197842.26,U,Posted
03/13/2024,ASM014438,Bill of Materials,AC-B8BK,BAG,840,14.486,12168.24,1,Posted
03/13/2024,ASM014446,Bill of Materials,A-61012,BOX,1740,12.197,21222.78,1,Posted
03/14/2024,ASM014449,Bill of Materials,AC-B4BK,BAG,600,7.317,4390.12,1,Posted
03/15/2024,ASM014450,Bill of Materials,AC-B4BK,BAG,600,7.421,4452.6,1,Posted
03/14/2024,ASM014451,Bill of Materials,A-61260N,BOX,806,9.422,7594.13,1,Posted
03/18/2024,ASM014452,Bill of Materials,AC-B8BK,BAG,840,13.766,11563.44,1,Posted
03/18/2024,ASM014453,Bill of Materials,AC-B4BK,BAG,600,7.421,4452.6,1,Posted
03/20/2024,ASM014458,Bill of Materials,AC-B8BK,BAG,840,13.766,11563.44,1,Posted
03/18/2024,ASM014459,Bill of Materials,A-61260N,BOX,1080,9.422,10175.76,1,Posted
03/20/2024,ASM014460,Bill of Materials,AC-B4BK,BAG,600,7.421,4452.6,1,Posted
03/21/2024,ASM014461,Bill of Materials,AC-B4BK,BAG,600,7.421,4452.6,1,Posted
03/27/2024,ASM014462,Bill of Materials,AC-B4BK,BAG,1200,7.274,8728.2,1,Posted
03/25/2024,ASM014463,Bill of Materials,AC-B4BK,BAG,1200,7.421,8905.2,1,Posted
03/25/2024,ASM014464,Bill of Materials,AC-B8BK,BAG,840,13.766,11563.44,1,Posted
03/21/2024,ASM014465,Bill of Materials,AC-B16BK,BAG,480,24.698,11855.04,1,Posted
03/19/2024,ASM014466,Bill of Materials,AC-B4BK,BAG,1000,7.782,7781.66,3,Posted
04/12/2024,ASM014469,Bill of Materials,A-61260N,BOX,720,8.402,6049.44,1,Posted
03/21/2024,ASM014471,Bill of Materials,A-61260N,BOX,1294,9.412,12178.8,1,Posted
03/21/2024,ASM014475,Bill of Materials,A-61280,BAG,291,11.037,3211.75,U,Posted
03/22/2024,ASM014479,Bill of Materials,A-61280,BAG,4035,11.054,44601.65,U,Posted
03/27/2024,ASM014483,Bill of Materials,AC-B8BK,BAG,840,13.639,11456.41,1,Posted
03/25/2024,ASM014486,Bill of Materials,A-61243,BOX,1920,7.26,13939.2,1,Posted
03/28/2024,ASM014491,Bill of Materials,AC-B8BK,BAG,576,13.931,8024.24,2,Posted
03/28/2024,ASM014495,Bill of Materials,A-61243,BOX,320,7.366,2357.12,3,Posted
03/29/2024,ASM014496,Bill of Materials,A-61220,BOX,757,3.348,2534.54,3,Posted
03/28/2024,ASM014497,Bill of Materials,A-61260N,BOX,195,9.443,1841.39,3,Posted
03/28/2024,ASM014498,Bill of Materials,A-61260N,BOX,70,9.443,661.01,3,Posted
04/02/2024,ASM014499,Bill of Materials,AC-B4BK,BAG,500,8.444,4221.75,3,Posted
04/01/2024,ASM014500,Bill of Materials,AC-B4BK,BAG,1200,7.274,8728.2,1,Posted
03/29/2024,ASM014501,Bill of Materials,AC-B8BK,BAG,840,13.423,11275.32,1,Posted
04/02/2024,ASM014502,Bill of Materials,AC-B16BK,BAG,300,28.579,8573.76,3,Posted
03/27/2024,ASM014504,Bill of Materials,A-61243,BOX,2066,7.26,14999.16,1,Posted
03/28/2024,ASM014505,Bill of Materials,A-61220,BOX,1242,3.286,4081.21,1,Posted
04/03/2024,ASM014507,Bill of Materials,AC-B9SLE,BAG,3200,22.844,73100.79,1,Posted
03/29/2024,ASM014520,Bill of Materials,A-61260N,BOX,419,8.402,3520.43,1,Posted
04/04/2024,ASM014521,Bill of Materials,AC-B4BK,BAG,1200,7.274,8728.2,1,Posted
04/01/2024,ASM014522,Bill of Materials,AC-B16BK,BAG,480,23.988,11514.24,1,Posted
03/29/2024,ASM014524,Bill of Materials,A-61260N,BOX,1440,8.402,12098.88,1,Posted
04/03/2024,ASM014526,Bill of Materials,A-61260N,BOX,1083,8.503,9208.32,1,Posted
04/05/2024,ASM014527,Bill of Materials,AC-B16BK,BAG,480,23.904,11473.76,1,Posted
04/05/2024,ASM014528,Bill of Materials,AC-B16BK,BAG,180,24.875,4477.5,2,Posted
04/09/2024,ASM014538,Bill of Materials,A-61260N,BOX,1440,8.402,12098.88,1,Posted
04/10/2024,ASM014539,Bill of Materials,A-61260N,BOX,1081,8.489,9176.81,1,Posted
04/15/2024,ASM014548,Bill of Materials,A-61260N,BOX,360,8.537,3073.32,3,Posted
04/15/2024,ASM014549,Bill of Materials,A-61220,BOX,2640,3.065,8091.6,3,Posted
04/16/2024,ASM014550,Bill of Materials,A-61260N,BOX,1440,8.402,12098.88,1,Posted
04/17/2024,ASM014551,Bill of Materials,AC-B6SLJ,BAG,1200,19.837,23804.1,1,Posted
04/16/2024,ASM014552,Bill of Materials,AC-B8BK,BAG,288,13.861,3991.98,2,Posted
04/19/2024,ASM014555,Bill of Materials,AC-B6SLJ,BAG,936,18.869,17661.59,1,Posted
04/17/2024,ASM014559,Bill of Materials,A-61260N,BOX,950,8.526,8099.46,1,Posted
04/22/2024,ASM014560,Bill of Materials,A-61243,BOX,111,7.752,860.45,2,Posted
04/22/2024,ASM014565,Bill of Materials,AC-B16BK,BAG,480,23.858,11451.84,1,Posted
04/19/2024,ASM014566,Bill of Materials,AC-B8BK,BAG,216,13.857,2993.14,2,Posted
04/22/2024,ASM014573,Bill of Materials,AC-B16BK,BAG,1000,27.086,27086.33,3,Posted
04/22/2024,ASM014574,Bill of Materials,AC-B4BK,BAG,1400,7.819,10945.9,3,Posted
04/22/2024,ASM014576,Bill of Materials,A-61220,BOX,960,3.049,2927.04,1,Posted
04/23/2024,ASM014577,Bill of Materials,A-61220,BOX,960,3.049,2927.04,1,Posted
04/23/2024,ASM014578,Bill of Materials,AC-B16BK,BAG,2000,27.035,54070.71,3,Posted
04/25/2024,ASM014582,Bill of Materials,AC-B8BK,BAG,195,13.856,2701.92,2,Posted
04/26/2024,ASM014583,Bill of Materials,A-61243,BOX,1956,6.625,12958.01,1,Posted
05/13/2024,ASM014589,Bill of Materials,A-61260N,BOX,1440,9.062,13049.28,1,Posted
04/26/2024,ASM014590,Bill of Materials,AC-B16BK,BAG,120,24.87,2984.4,2,Posted
04/29/2024,ASM014591,Bill of Materials,AC-B8BK,BAG,400,14.981,5992.4,3,Posted
05/02/2024,ASM014595,Bill of Materials,A-61012,BOX,1080,12.256,13236.48,2,Posted
05/06/2024,ASM014598,Bill of Materials,AC-B16BK,BAG,480,23.858,11451.84,1,Posted
05/07/2024,ASM014600,Bill of Materials,A-61243,BOX,1636,7.327,11986.2,1,Posted
05/09/2024,ASM014605,Bill of Materials,AC-B4BK,BAG,1200,6.989,8386.25,1,Posted
05/07/2024,ASM014606,Bill of Materials,AC-B8BK,BAG,840,13.288,11161.92,1,Posted
05/07/2024,ASM014607,Bill of Materials,AC-B8BK,BAG,1000,14.976,14976,3,Posted
05/08/2024,ASM014608,Bill of Materials,A-61012,BOX,720,12.214,8793.99,2,Posted
05/08/2024,ASM014610,Bill of Materials,AC-B8BK,BAG,216,13.856,2992.89,2,Posted
05/14/2024,ASM014635,Bill of Materials,A-61260N,BOX,1041,9.119,9492.39,1,Posted
05/15/2024,ASM014638,Bill of Materials,A-61012,BOX,1080,12.176,13150.08,2,Posted
05/15/2024,ASM014641,Bill of Materials,A-61012,BOX,1080,12.167,13140.36,1,Posted
05/16/2024,ASM014642,Bill of Materials,AC-B8BK,BAG,240,13.856,3325.44,2,Posted
05/16/2024,ASM014643,Bill of Materials,AC-B4BK,BAG,1520,8.061,12252.72,3,Posted
05/21/2024,ASM014645,Bill of Materials,A-61260N,BOX,1080,9.211,9947.95,3,Posted
05/17/2024,ASM014646,Bill of Materials,A-61012,BOX,1507,12.27,18490.92,1,Posted
05/22/2024,ASM014654,Bill of Materials,AC-B4BK,BAG,1200,6.966,8359.2,1,Posted
06/10/2024,ASM014656,Bill of Materials,AC-B16BK,BAG,480,26.488,12714.24,1,Posted
05/20/2024,ASM014657,Bill of Materials,A-61220,BOX,667,1.029,686.34,1,Posted
05/21/2024,ASM014661,Bill of Materials,A-61220,BOX,1920,3.269,6276.48,1,Posted
05/28/2024,ASM014662,Bill of Materials,AC-B4BK,BAG,1200,6.966,8359.2,1,Posted
05/22/2024,ASM014663,Bill of Materials,A-61260N,BOX,150,9.107,1366.05,3,Posted
05/23/2024,ASM014665,Bill of Materials,A-61243,BOX,2070,7.05,14593.02,1,Posted
05/23/2024,ASM014666,Bill of Materials,A-61260N,BOX,360,9.107,3278.52,3,Posted
05/29/2024,ASM014668,Bill of Materials,AC-B9SLE,BAG,3200,24.78,79295.75,1,Posted
05/30/2024,ASM014673,Bill of Materials,A-61260N,BOX,1080,9.105,9833.89,3,Posted
05/29/2024,ASM014676,Bill of Materials,AC-B16BK,BAG,160,24.886,3981.75,2,Posted
05/29/2024,ASM014682,Bill of Materials,A-61260N,BOX,720,8.522,6135.84,1,Posted
05/30/2024,ASM014684,Bill of Materials,A-61220,BOX,1200,3.286,3943.2,3,Posted
05/30/2024,ASM014687,Bill of Materials,A-61260N,BOX,720,8.522,6135.84,1,Posted
05/31/2024,ASM014690,Bill of Materials,A-61260N,BOX,720,8.762,6308.64,1,Posted
06/03/2024,ASM014693,Bill of Materials,A-61220,BOX,2880,3.286,9463.7,3,Posted
06/05/2024,ASM014694,Bill of Materials,AC-B6SLJ,BAG,480,18.845,9045.6,1,Posted
05/31/2024,ASM014695,Bill of Materials,A-61260N,BOX,1800,8.762,15771.6,1,Posted
06/05/2024,ASM014696,Bill of Materials,A-61012,BOX,1080,12.201,13176.88,2,Posted
06/04/2024,ASM014697,Bill of Materials,AC-B16BK,BAG,250,24.889,6222.3,2,Posted
06/04/2024,ASM014698,Bill of Materials,A-61260N,BOX,596,8.762,5222.15,1,Posted
06/05/2024,ASM014699,Bill of Materials,AC-B9SLE,BAG,10,25.181,251.81,1,Posted
07/17/2024,ASM014700,Bill of Materials,A-61280,BAG,10,10.949,109.49,1,Posted
06/05/2024,ASM014702,Bill of Materials,A-61243,BOX,480,7.199,3455.55,3,Posted
06/07/2024,ASM014704,Bill of Materials,AC-B16BK,BAG,480,23.424,11243.75,1,Posted
06/12/2024,ASM014707,Bill of Materials,AC-B8BK,BAG,840,14.609,12271.42,1,Posted
06/10/2024,ASM014708,Bill of Materials,A-61260N,BOX,1800,8.702,15663.6,1,Posted
06/11/2024,ASM014710,Bill of Materials,A-61243,BOX,960,7.109,6824.7,3,Posted
06/12/2024,ASM014711,Bill of Materials,A-61012,BOX,1080,12.256,13236.48,2,Posted
06/11/2024,ASM014712,Bill of Materials,A-61243,BOX,480,7.1,3408,3,Posted
06/12/2024,ASM014717,Bill of Materials,A-61280,BAG,1155,11.341,13099.21,U,Posted
06/14/2024,ASM014720,Bill of Materials,A-61260N,BOX,2256,8.798,19847.71,1,Posted
06/13/2024,ASM014723,Bill of Materials,A-61220,BOX,960,3.349,3215.04,1,Posted
06/14/2024,ASM014725,Bill of Materials,A-61243,BOX,1783,7.186,12812.63,1,Posted
06/17/2024,ASM014732,Bill of Materials,A-61260N,BOX,504,8.698,4383.9,1,Posted
06/20/2024,ASM014734,Bill of Materials,A-61012,BOX,1080,12.302,13285.7,2,Posted
06/21/2024,ASM014736,Bill of Materials,AC-B4BK,BAG,1920,7.899,15165.12,1,Posted
06/18/2024,ASM014739,Bill of Materials,AC-B8BK,BAG,280,13.796,3862.88,2,Posted
06/19/2024,ASM014745,Bill of Materials,A-61220,BOX,1280,3.299,4222.39,3,Posted
06/19/2024,ASM014746,Bill of Materials,A-61260N,BOX,2476,8.762,21695.54,1,Posted
06/20/2024,ASM014754,Bill of Materials,A-61260N,BOX,912,8.758,7987.06,1,Posted
06/25/2024,ASM014757,Bill of Materials,AC-B4BK,BAG,1200,7.874,9448.23,1,Posted
06/25/2024,ASM014763,Bill of Materials,AC-B6SLJ,BAG,240,18.893,4534.32,1,Posted
06/27/2024,ASM014767,Bill of Materials,AC-B6SLJ,BAG,240,18.893,4534.32,1,Posted
06/25/2024,ASM014768,Bill of Materials,AC-B16BK,BAG,102,24.778,2527.36,2,Posted
06/26/2024,ASM014769,Bill of Materials,A-61012,BOX,1130,12.29,13887.74,2,Posted
06/26/2024,ASM014773,Bill of Materials,A-61220,BOX,3840,3.351,12868.41,1,Posted
07/01/2024,ASM014775,Bill of Materials,AC-B6SLJ,BAG,240,19.753,4740.72,1,Posted
06/28/2024,ASM014779,Bill of Materials,A-61243,BOX,3992,7.19,28704.01,1,Posted
07/03/2024,ASM014780,Bill of Materials,AC-B4BK,BAG,1200,7.876,9451.2,1,Posted
06/28/2024,ASM014783,Bill of Materials,A-61243,BOX,1008,7.19,7247.88,1,Posted
07/02/2024,ASM014786,Bill of Materials,AC-B16BK,BAG,161,24.778,3989.25,2,Posted
07/03/2024,ASM014790,Bill of Materials,A-61012,BOX,1800,12.297,22134.08,1,Posted
07/08/2024,ASM014792,Bill of Materials,AC-B16BK,BAG,480,26.518,12728.64,1,Posted
07/08/2024,ASM014793,Bill of Materials,A-61220,BOX,1920,3.394,6516.48,3,Posted
07/08/2024,ASM014794,Bill of Materials,A-61243,BOX,480,7.196,3454.08,3,Posted
07/08/2024,ASM014795,Bill of Materials,AC-B16BK,BAG,480,26.518,12728.64,1,Posted
07/10/2024,ASM014798,Bill of Materials,AC-B8BK,BAG,840,14.609,12271.66,1,Posted
07/15/2024,ASM014799,Bill of Materials,AC-B4BK,BAG,1200,6.806,8167.2,1,Posted
07/08/2024,ASM014800,Bill of Materials,AC-B16BK,BAG,1000,26.873,26872.76,3,Posted
07/08/2024,ASM014802,Bill of Materials,AC-B4BK,BAG,400,7.954,3181.4,3,Posted
07/08/2024,ASM014803,Bill of Materials,AC-B8BK,BAG,660,14.821,9781.86,3,Posted
07/09/2024,ASM014804,Bill of Materials,A-61243,BOX,3780,7.194,27192.32,1,Posted
07/10/2024,ASM014808,Bill of Materials,A-61260N,BOX,1800,8.752,15753.6,1,Posted
07/17/2024,ASM014818,Bill of Materials,AC-B9SLE,BAG,3200,25.181,80579.2,1,Posted
07/12/2024,ASM014819,Bill of Materials,AC-B8BK,BAG,360,13.796,4966.56,2,Posted
07/12/2024,ASM014820,Bill of Materials,A-61012,BOX,720,12.32,8870.4,2,Posted
07/12/2024,ASM014824,Bill of Materials,A-61260N,BOX,9580,9.331,89390.98,IF,Posted
07/15/2024,ASM014827,Bill of Materials,A-61012,BOX,1800,12.323,22181.4,1,Posted
07/17/2024,ASM014832,Bill of Materials,AC-B16BK,BAG,153,26.828,4104.69,3,Posted
07/17/2024,ASM014833,Bill of Materials,AC-B4BK,BAG,3600,7.954,28632.6,3,Posted
07/17/2024,ASM014834,Bill of Materials,A-61220,BOX,1000,3.408,3407.74,3,Posted
07/18/2024,ASM014837,Bill of Materials,A-61012,BOX,1800,12.278,22100.3,1,Posted
07/19/2024,ASM014838,Bill of Materials,A-61012,BOX,720,12.316,8867.6,2,Posted
07/19/2024,ASM014839,Bill of Materials,A-61012,BOX,1800,12.243,22037.4,1,Posted
07/22/2024,ASM014840,Bill of Materials,AC-B8BK,BAG,355,13.796,4897.58,2,Posted
07/24/2024,ASM014845,Bill of Materials,A-61243,BOX,730,7.207,5260.75,1,Posted
07/25/2024,ASM014849,Bill of Materials,A-61012,BOX,1080,12.269,13250.37,2,Posted
07/26/2024,ASM014853,Bill of Materials,A-61243,BOX,2880,7.211,20766.9,1,Posted
07/29/2024,ASM014855,Bill of Materials,A-61260N,BOX,360,9.302,3348.72,3,Posted
08/06/2024,ASM014857,Bill of Materials,A-61260N,BOX,1080,9.313,10058.34,1,Posted
08/26/2024,ASM014861,Bill of Materials,F-04220,CASE,4000,7.607,30428.06,2,Posted
08/26/2024,ASM014861,Bill of Materials,F-04211,EACH,-96000,0.288,27628.06,2,Posted
07/30/2024,ASM014862,Bill of Materials,A-61012,BOX,975,12.466,12154.19,1,Posted
08/01/2024,ASM014865,Bill of Materials,A-61012,BOX,1080,12.236,13214.88,2,Posted
08/05/2024,ASM014871,Bill of Materials,A-61260N,BOX,720,9.302,6697.44,3,Posted
08/07/2024,ASM014874,Bill of Materials,AC-B16BK,BAG,338,24.778,8374.97,2,Posted
